,City,date,lat,lon,max_temp,clouds,wind,humidity,Country
420,paita,1595986626,-5.09,-81.11,61.45,0,12.39,84,PE
421,tucuman,1595986597,-26.82,-65.22,42.8,0,6.93,56,AR
422,wajir,1595986627,1.75,40.06,71.1,32,7.31,84,KE
423,hasaki,1595986627,35.73,140.83,75.0,75,14.99,88,JP
424,uthal,1595986627,25.81,66.62,86.47,73,8.3,66,PK
425,ahipara,1595986627,-35.17,173.17,59.41,100,11.54,67,NZ
426,salalah,1595986627,17.02,54.09,80.6,75,6.93,94,OM
427,huanuco,1595986627,-9.93,-76.24,59.68,10,0.85,64,PE
428,hailar,1595986383,49.2,119.7,78.73,91,9.55,53,CN
429,la rioja,1595986627,42.25,-2.5,69.8,90,6.93,73,ES
430,fraserburgh,1595986627,57.69,-2.02,54.0,100,37.0,79,GB
431,hambantota,1595986627,6.12,81.12,77.0,75,3.36,100,LK
432,sobolevo,1595986627,54.43,31.9,62.42,94,8.08,95,RU
433,port augusta,1595986627,-32.5,137.77,60.8,0,9.17,48,AU
434,corner brook,1595986627,48.97,-57.95,66.2,75,11.41,87,CA
435,takoradi,1595986625,4.88,-1.76,73.53,48,7.56,89,GH
436,mtsamboro,1595986628,-12.7,45.07,77.0,68,12.75,78,YT
437,erzin,1595986628,36.96,36.2,79.0,0,1.83,89,TR
438,aracati,1595986608,-4.56,-37.77,77.31,0,11.65,71,BR
439,cockburn town,1595986550,21.46,-71.14,83.55,24,19.64,81,TC
440,nguruka,1595986628,-5.11,31.04,60.82,9,5.55,63,TZ
441,terra santa,1595986628,-2.1,-56.49,75.09,0,1.28,61,BR
442,prince rupert,1595986628,54.32,-130.32,59.0,1,6.93,82,CA
443,nha trang,1595986488,12.25,109.18,89.6,20,1.12,66,VN
444,grand gaube,1595986628,-20.01,57.66,66.0,5,3.0,84,MU
445,bud,1595986628,39.45,-86.18,79.0,1,2.08,61,US
446,broome,1595986360,42.25,-75.83,75.2,1,4.7,47,US
447,russell,1595986629,32.35,-85.2,78.8,1,4.72,88,US
448,kharp,1595986629,66.8,65.81,54.34,28,8.14,60,RU
449,mindelo,1595986629,16.89,-24.98,78.8,20,10.29,83,CV
450,poum,1595986629,-20.23,164.02,73.8,100,31.63,87,NC
451,wad madani,1595986629,14.4,33.52,76.82,100,13.2,75,SD
452,kismayo,1595986629,-0.36,42.55,76.59,1,14.63,85,SO
453,cobija,1595986629,-11.03,-68.77,75.97,17,1.5,67,BO
454,ourinhos,1595986629,-22.98,-49.87,66.07,0,1.48,59,BR
455,ochakiv,1595986629,46.61,31.55,69.8,0,6.71,60,UA
456,hit,1595986629,33.64,42.83,95.04,5,9.04,16,IQ
457,rudsar,1595986630,37.14,50.29,80.6,40,2.24,83,IR
458,deputatskiy,1595986630,69.3,139.9,47.01,74,10.85,55,RU
459,bartica,1595986630,6.4,-58.62,78.8,40,2.24,94,GY
460,usinsk,1595986630,65.99,57.53,53.28,100,11.97,68,RU
461,benoni,1595986630,-26.19,28.32,43.0,0,3.96,79,ZA
462,sorland,1595986630,67.67,12.69,58.66,0,13.02,76,NO
463,maniitsoq,1595986630,65.42,-52.9,45.9,81,2.44,88,GL
464,nyurba,1595986630,63.28,118.33,57.72,100,9.22,62,RU
465,morant bay,1595986630,17.88,-76.41,86.0,20,16.11,66,JM
466,codrington,1595986621,-38.27,141.97,57.09,15,10.96,76,AU
467,ambulu,1595986630,-8.35,113.61,77.67,90,3.74,63,ID
468,tabuleiro do norte,1595986630,-5.25,-38.13,75.45,0,7.25,73,BR
469,clyde river,1595986631,70.47,-68.59,37.4,90,13.87,100,CA
470,juneau,1595986626,58.3,-134.42,64.4,75,3.36,55,US
471,yulara,1595986631,-25.24,130.99,62.6,0,5.82,26,AU
472,henties bay,1595986631,-22.12,14.28,54.0,0,1.99,95,NA
473,hay river,1595986631,60.82,-115.8,73.4,40,5.82,38,CA
474,kristiansund,1595986631,63.11,7.73,60.8,72,17.22,67,NO
475,pionerskiy,1595986631,54.95,20.23,62.6,51,11.18,88,RU
476,buzdyak,1595986631,54.58,54.55,60.06,28,5.79,86,RU
477,omagh,1595986631,54.6,-7.3,44.98,25,3.78,93,GB
478,saint-pierre,1595986631,-21.34,55.48,71.6,96,16.11,78,RE
479,murray bridge,1595986631,-35.12,139.27,59.0,0,1.99,79,AU
480,kiama,1595986632,-34.68,150.87,66.0,0,11.01,59,AU
481,glendive,1595986632,47.11,-104.71,87.8,1,12.75,31,US
482,tuban,1595986632,-6.9,112.06,79.66,100,12.39,66,ID
483,santo amaro da imperatriz,1595986632,-27.69,-48.78,55.4,90,10.29,87,BR
484,boa vista,1595986632,2.82,-60.67,80.6,40,4.7,74,BR
485,montivilliers,1595986632,49.55,0.19,59.0,40,9.17,82,FR
486,wanxian,1595986632,30.8,108.39,84.76,99,4.47,67,CN
487,wahiawa,1595986632,21.5,-158.02,87.8,75,12.75,65,US
488,chadiza,1595986632,-14.07,32.44,54.52,98,5.95,96,ZM
489,raudeberg,1595986632,61.99,5.14,57.2,62,6.93,93,NO
490,barcelona,1595986369,41.39,2.16,79.0,20,6.93,78,ES
491,kirakira,1595986632,-10.45,161.92,85.39,100,5.93,69,SB
492,beringovskiy,1595986632,63.05,179.32,61.93,42,10.94,61,RU
